"sf__Id","sf__Error",Id
"001Ox00001aExMLIA0","DELETE_FAILED:Your attempt to delete Michelle and Michelle Warra Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Michelle Warra Household $2000 Donation 12/31/2025, Michelle Warra Household $2250 Donation 12/31/2024, Michelle Warra Household $2400 Donation 12/31/2023, Michelle Warra Household $1800 Donation 12/31/2022, ..., ..., ..., ..., ..., ...
:--","001Ox00001aExMLIA0"
"001Ox00001aExMMIA0","DELETE_FAILED:Your attempt to delete Barbara and Barbara Orisio Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Barbara Orisio Household $675 Donation 12/31/2025, Barbara Orisio Household $925 Donation 12/31/2024, Barbara Orisio Household $900 Donation 12/31/2023, Barbara Orisio Household $1300 Donation 12/31/2022, ..., ..., ..., ...
:--","001Ox00001aExMMIA0"
"001Ox00001aExMNIA0","DELETE_FAILED:Your attempt to delete Wendy and Wendy Reynoso Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Wendy Reynoso Household $200 Donation 12/31/2024, Wendy Reynoso Household $490 Donation 12/31/2023, Wendy Reynoso Household $1040 Donation 12/31/2022, Wendy Reynoso Household $150 Donation 12/31/2021, ..., ..., ..., ...
:--","001Ox00001aExMNIA0"
"001Ox00001aExMOIA0","DELETE_FAILED:Your attempt to delete Danna and Danna Deblasio Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Danna Deblasio Household $250 Donation 12/31/2025, Danna Deblasio Household $400 Donation 12/31/2024, Danna Deblasio Household $500 Donation 12/31/2022, Danna Deblasio Household $600 Donation 12/31/2021, ..., ..., ..., ...
:--","001Ox00001aExMOIA0"
"001Ox00001aExMPIA0","DELETE_FAILED:Your attempt to delete Anjanette and Anjanette Cabrera Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Anjanette Cabrera Household $400 Donation 12/31/2026, Anjanette Cabrera Household $1200 Donation 12/31/2025, Anjanette Cabrera Household $1000 Donation 12/31/2024, Anjanette Cabrera Household $1100 Donation 12/31/2023, ..., ..., ..., ...
:--","001Ox00001aExMPIA0"
"001Ox00001aExMQIA0","DELETE_FAILED:Your attempt to delete Diana and Diana Gasperoni Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Diana Gasperoni Household $500 Donation 12/31/2026, Diana Gasperoni Household $625 Donation 12/31/2025, Diana Gasperoni Household $600 Donation 12/31/2021, Diana and Diana Gasperoni Household $500 Donation 12/31/2026, ..., ...
:--","001Ox00001aExMQIA0"
"001Ox00001aExMSIA0","DELETE_FAILED:Your attempt to delete Cecilia and Cecilia Garza Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Cecilia Garza Household $1000 Donation 12/31/2026, Cecilia Garza Household $4540 Donation 12/31/2025, Cecilia Garza Household $3120 Donation 12/31/2024, Cecilia and Cecilia Garza Household $1000 Donation 12/31/2026, ..., ...
:--","001Ox00001aExMSIA0"
"001Ox00001aExMTIA0","DELETE_FAILED:Your attempt to delete Christian and Christian Audi and Friends Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Christian Audi Household $250 Donation 12/31/2026, Christian Audi Household $1000 Donation 12/31/2024, Christian Audi Household $1000 Donation 12/31/2023, Christian Audi Household $1400 Donation 12/31/2022, ..., ..., ..., ...
:--","001Ox00001aExMTIA0"
"001Ox00001aExMUIA0","DELETE_FAILED:Your attempt to delete Hazel and Hazel Guzman Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Hazel Guzman Household $500 Donation 12/31/2025, Hazel and Hazel Guzman Household $500 Donation 12/31/2025
:--","001Ox00001aExMUIA0"
"001Ox00001aExMVIA0","DELETE_FAILED:Your attempt to delete David and David Smith Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: David Smith Household $1000 Donation 12/31/2025, David Smith Household $1000 Donation 12/31/2024, David Smith Household $1000 Donation 12/31/2023, David Smith Household $450 Donation 12/31/2022, ..., ..., ..., ...
:--","001Ox00001aExMVIA0"
