Account_External_ID__c,Name,RecordTypeId,Geographic_Scope__c,Area_of_Interest__c,Account_Information__c,Documentation_Requirements__c,Grant_Amount_Text__c,Due_Date_Text__c,TAX_ID_NUMBER__c,Submission_Status__c,Outreach_Status__c,Internal_Notes__c,Research_Links__c,Relationship__c,Type
annieecaseyfoundation,Annie E Casey Foundation,012f2000000ww92AAA,"Funds organizations in the United States, including Puerto Rico and the Virgin Islands. ","Our work focus­es on ensur­ing kids have strong, sup­port­ive fam­i­lies; increas­ing eco­nom­ic oppor­tu­ni­ty; trans­form­ing strug­gling com­mu­ni­ties; and strength­en­ing social sec­tor lead­ers ded­i­cat­ed to improv­ing the lives of young peo­ple. To those ends, we invest in inno­v­a­tive ideas, prac­tices and poli­cies that have the poten­tial to help mil­lions thrive. Our grant mak­ing is there­fore very selective.",Portal,,No current grant opportunties open. ,,,Follow-up with Maria : AUGUST 2025,,,"https://www.aecf.org/grant-making
https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzXdKMdNTCnskQHZnLpvKNBSD",Funder,Foundation
pinkertonfoundation,Pinkerton Foundation,012f2000000ww92AAA,Funds NYC ,Children's Organization,Portal,LOI,,,,Follow up in August for new cycle info,,,https://www.thepinkertonfoundation.org/grant-guidelines,Funder,Foundation
lookingoutfoundation,Looking Out Foundation,012f2000000ww92AAA,No specific geographical priorities listed on website  ,"Program interests include, but are not limited to: disadvantaged youth, public health, women, the environment, the arts, the hungry and the homeless.",https://www.lookingoutfoundation.org/grant_applications,"Emailed in a single PDF file by the proposal        
deadline to donations@lookingoutfoundation.org ","The average grant allocation is between $1,000 and $5,000",August 1,,Outreach conducted 4/9                            Followed up 5/15,,,"https://www.lookingoutfoundation.org/grant_applications
https://www.lookingoutfoundation.org/grant_applications",Funder,Foundation
hydeandwatsonfoundation,Hyde and Watson Foundation,012f2000000ww92AAA,"Funds primarily the five boroughs of New York City, and Essex, Morris, and Union Counties in New Jersey.","Broad fields of support include education, social services, arts, health, religion, and humanities. ",Portal,,,,,,,,https://hydeandwatson.org/application-procedures/,Funder,Foundation
amplifyher,Amplify Her,012f2000000ww92AAA,Funds NYC ,"TO SUPPORT WOMEN AND GIRLS FROM UNDERSERVED COMMUNITIES TO BECOME TRANSFORMATIVE CHANGEMAKERS.",Portal,,,,,,,,#ERROR!,Funder,Foundation
theslomo&cindysiivianfoundation,The Slomo & Cindy Siivian Foundation,012f2000000ww92AAA,Funds New York ,"The Foundation makes grants to organizations that operate in one or more of the following subject areas: Education, Children’s Welfare, Medical Care, Medical Research, and Jewish Philanthropic Endeavors.",Portal,,,,,,,,https://www.silvianfoundation.org/,Funder,Foundation
"""sparksofjoyprogram""katespadefoundation","""Sparks of Joy Program"" Kate Spade Foundation",012f2000000ww92AAA,,"Have as their primary mission the provision of direct services to low-income children or teens for a period of time sufficient to enhance education or life skills and constitute a life-transforming activity;
",Portal,,,,,,,,https://www.tfaforms.com/4879896,Funder,Foundation
rosennthalfamilyfoundation,Rosennthal Family Foundation,012f2000000ww92AAA,,,,,"$25,000",,,,,,,Funder,Foundation
"lilyauchinclossfoundation,inc.-humanservicesgrant","Lily Auchincloss Foundation, Inc. - Human Services Grant",012f2000000ww92AAA,NYC Based,"The foundation supports art, preservation and community programs which serve to enrich the lives of the people of New York City. HUMAN SERVICES GRANTS: The human services cycle is open to organizations whose mission and programs serve New York City residents for prevention, change, and education for the improvement of their quality of life.

",Link to Application - We have an account,RFP - Request for Proposal ,"$5,000 - US $25,000",12/15 – Applications Open                                   1/15 Applications Close,,Reached out to Rossana to let her know we are interested in submitting an application (10/10),,,https://www.grantinterface.com/Home/Logon?urlkey=Lily,Funder,Foundation
pinkerton,Pinkerton,012f2000000ww92AAA,NYC,"Dedicated to improving the lives of young people in low-income neighborhoods throughout New York City by helping them develop the skills, self-reliance and strong values necessary to live up to their full potential.",,,"$50,000",,,,,,,Funder,Foundation
