Opportunity_External_ID__c,Name,AccountId,StageName,CloseDate,Amount,Description
annieecaseyfoundation_opty,Annie E Casey Foundation Grant Application,001Ox00001V7Fl6IAF,Prospecting,2026-12-31,,Grant range: No current grant opportunties open.
pinkertonfoundation_opty,Pinkerton Foundation Grant Application,001Ox00001V7FkvIAF,Prospecting,2026-12-31,,
lookingoutfoundation_opty,Looking Out Foundation Grant Application,001Ox00001V7FkwIAF,Prospecting,2026-08-01,,"Grant range: The average grant allocation is between $1,000 and $5,000"
hydeandwatsonfoundation_opty,Hyde and Watson Foundation Grant Application,001Ox00001V7FkxIAF,Prospecting,2026-12-31,,
amplifyher_opty,Amplify Her Grant Application,001Ox00001V7FkyIAF,Prospecting,2026-12-31,,
theslomo&cindysiivianfoundation_opty,The Slomo & Cindy Siivian Foundation Grant Application,001Ox00001aDMP7IAO,Prospecting,2026-12-31,,
"""sparksofjoyprogram""katespadefoundation_opty","""Sparks of Joy Program"" Kate Spade Foundation Grant Application",001Ox00001b7FntIAE,Prospecting,2026-12-31,,
rosennthalfamilyfoundation_opty,Rosennthal Family Foundation Grant Application,001Ox00001V7Fl1IAF,Prospecting,2026-12-31,25000,"Grant range: $25,000"
"lilyauchinclossfoundation,inc.-humanservicesgrant_opty","Lily Auchincloss Foundation, Inc. - Human Services Grant Grant Application",001Ox00001b7FnuIAE,Prospecting,2026-12-15,5000,"Grant range: $5,000 - US $25,000"
pinkerton_opty,Pinkerton Grant Application,001Ox00001V7Fl3IAF,Prospecting,2026-12-31,50000,"Grant range: $50,000"
nycserviceyouthleadershipcouncil_opty,NYC Service Youth Leadership Council Grant Application,001Ox00001V7Fl4IAF,Prospecting,2026-04-23,1000,"Grant range: $1,000"
l&bcharitable_opty,L&B Charitable Grant Application,001Ox00001V7Fl5IAF,Prospecting,2026-04-08,20000,"Grant range: $20,000"
anniee.caseyfoundation_opty,Annie E. Casey Foundation Grant Application,001Ox00001b7FnvIAE,Prospecting,2026-05-18,70000,"Grant range: $70,000"
levittfoundation_opty,Levitt Foundation Grant Application,001Ox00001V7Fl7IAF,Prospecting,2026-12-31,2000,"Grant range: $2,000"
katespade_opty,Kate Spade Grant Application,001Ox00001V7Fl8IAF,Prospecting,2026-12-31,,Grant range: September 19
aefoundationcommunitygrant_opty,AE Foundation Community Grant Grant Application,001Ox00001V7Fl9IAF,Prospecting,2026-06-30,15000,"Grant range: $15,000"
