Opportunity_External_ID__c,Name,AccountId,StageName,CloseDate,Amount,Description
conedison_opty,Con Edison Grant Application,001Ox00001aKW06IAG,Application Submitted,2026-04-30,,
nbcuniversal_opty,NBC Universal Grant Application,001Ox00001aKW07IAG,Prospecting,2026-12-31,227000,"Grant range: $227,000"
thecitifoundation_opty,The Citi Foundation Grant Application,001Ox00001aKW08IAG,Prospecting,2026-12-31,,
citifoundation_opty,Citi Foundation Grant Application,,Prospecting,2025-03-04,,
wellsfargofoundation_opty,Wells Fargo Foundation Grant Application,001Ox00001aKW09IAG,Prospecting,2026-12-31,50000,"Grant range: $50,000"
costco_opty,Costco Grant Application,001Ox00001aKcr1IAC,Prospecting,2026-12-31,10000,"Grant range: $10,000"
deloitte_opty,Deloitte Grant Application,,Prospecting,2026-12-31,,
resortworld_opty,Resort World Grant Application,001Ox00001aKW0AIAW,Prospecting,2026-12-31,,"Grant range: Up to $50,000"
tjmaxxtjxcommunitymissiongrant_opty,TJ Maxx : TJX Community Mission Grant Grant Application,001Ox00001aKW0BIAW,Prospecting,2026-10-31,,
citifoundation_opty,Citi Foundation Grant Application,,Prospecting,2026-02-18,,
poncedeleonfoundation_opty,Ponce De Leon Foundation Grant Application,,Prospecting,2026-12-31,5000,"Grant range: $5,000-$30,000"
nordstrom_opty,Nordstrom Grant Application,001Ox00001aKXXHIA4,Prospecting,2026-12-31,5000,"Grant range: $5,000-$20,000"
dollargeneralyouthliteracygrant_opty,Dollar General Youth Literacy Grant Grant Application,001Ox00001aKcqzIAC,Prospecting,2026-04-02,,Grant range: up to $5000
walmartsparksgoodgrant_opty,Walmart Sparks Good Grant Grant Application,001Ox00001aKcqyIAC,Prospecting,2026-04-15,250,"Grant range: $250 - $5,000"
nbcuniversallocalimpactgrant_opty,NBC Universal Local Impact Grant Grant Application,001Ox00001aKcr4IAC,Prospecting,2026-04-24,,Grant range: Varies
tdcharitablefoundationcapacitybuildingfund_opty,TD Charitable Foundation - Capacity Building Fund Grant Application,001Ox00001aKcr6IAC,Prospecting,2026-05-15,100000,"Grant range: $100,000"
thetjxfoundation_opty,The TJX Foundation Grant Application,001Ox00001aKcr5IAC,Prospecting,2026-10-31,,"Grant range: Average - $5,000"
resortworldgives_opty,Resort World Gives Grant Application,001Ox00001aDMPFIA4,Prospecting,2026-11-01,50000,"Grant range: $50,000"
disneygrant_opty,Disney Grant Grant Application,,Prospecting,2026-12-31,5000,"Grant range: $5,000"
target_opty,Target Grant Application,001Ox00001aKHyrIAG,Application Submitted,2026-04-11,1000,"Grant range: $1,000 - $2,000 per 90-day campaign, minimum of $500"
magnoliabakeryinkind_opty,Magnolia Bakery In-Kind Grant Application,001Ox00001aKHysIAG,Application Submitted,2026-12-31,,Grant range: In-Kind
morganstanleyscopeathonchallengeassessment_opty,Morgan Stanley ScopeAthon Challenge Assessment Grant Application,001Ox00001aKHytIAG,Application Submitted,2026-12-31,,
thrivecausemeticsinkind_opty,Thrive Causemetics In Kind Grant Application,001Ox00001aKHyuIAG,Prospecting,2026-12-31,,Grant range: In-kind product donation
popularbank_opty,Popular Bank Grant Application,001Ox00001aKHyvIAG,Prospecting,2026-12-31,,
disneygrant_opty,Disney Grant Grant Application,,Prospecting,2026-12-31,5000,"Grant range: $5,000"
blackrockfoundation_opty,BlackRock Foundation Grant Application,001Ox00001aKdMXIA0,Prospecting,2026-12-31,,
cushmanwakefieldcharitablefoundation_opty,Cushman & Wakefield Charitable Foundation Grant Application,001Ox00001aKdMYIA0,Prospecting,2026-12-31,,
deloittefoundation_opty,Deloitte Foundation Grant Application,001Ox00001aKdMZIA0,Prospecting,2026-12-31,,
macys_opty,Macy's Grant Application,001Ox00001aKdMaIAK,Prospecting,2026-12-31,,
thecocacolafoundation_opty,The CocaCola Foundation Grant Application,001Ox00001aKcr0IAC,Prospecting,2026-12-31,,"Grant range: $10,000 up to $5,000,000"
alogivesfoundation_opty,Alo Gives Foundation Grant Application,001Ox00001aKcr3IAC,Prospecting,2026-12-31,,"Grant range: Median: $15,000 - $23,000"
statestreet_opty,State Street Grant Application,001Ox00001aKcqHIAS,Prospecting,2024-12-31,,Grant range: Operating support grants must not exceed 15% of an organization's total budget.
fondationchanel_opty,Fondation Chanel Grant Application,001Ox00001aKcqIIAS,Prospecting,2026-12-31,35000,"Grant range: $35,000 - $250,000"
mccormickfamilyfoundation_opty,McCormick Family Foundation Grant Application,001Ox00001aKcqJIAS,Prospecting,2026-12-31,,"Grant range: Median: $25,000"
