Name,AccountId,StageName,CloseDate,Amount,Description
Hispanic Federation 2026 UPLift New York State Grant Application,001Ox00001V7FlMIAV,Application Submitted,2026-02-06,,
ViaPath Foundation Grant Application,001Ox00001aDMOtIAO,Application Submitted,2026-02-20,50000,"Grant range: cap of $50,000 over a three-year period"
Spectrum Digital Education Grant Grant Application,001Ox00001aDMOuIAO,Application Submitted,2026-02-27,2500,"Grant range: $2,500 - $50,000"
Mary S. Mulligan Charitable Trust (Bank of America) Grant Application,001Ox00001aDMOvIAO,Application Submitted,2026-03-01,2000,"Grant range: $2,000 up to about $36,150"
American Eagle Foundation Grant Application,001Ox00001aDMOwIAO,Application Submitted,2026-03-02,5000,"Grant range: $5,000 - $15,000"
The Frances L. & Edwin L. Cummings Memorial Fund Grant Application,001Ox00001aDMOxIAO,Application Submitted,2026-04-01,70000,"Grant range: Average - $70,000"
Laura B. Vogler Foundation Grant Application,001Ox00001aDMOyIAO,Application Submitted,2026-07-01,3000,"Grant range: $3,000–$4,000"
William T. Grant Foundation (Youth Service Improvement Grant) Grant Application,001Ox00001aDMOzIAO,Application Submitted,2026-04-01,25000,"Grant range: $25,000"
UnidosUS – Pioneras en STEM Grant Application,001Ox00001aDMP0IAO,Application Submitted,2026-04-01,20000,"Grant range: $20,000"
UnidosUS – Escaleras Grant Application,001Ox00001aDMP1IAO,Application Submitted,2026-04-01,40000,"Grant range: $40,000"
Mother Cabrini Health Foundation Grant Application,001Ox00001aDMP2IAO,Application Submitted,2026-12-31,75000,"Grant range: $75,000+"
Brooklyn Org Grant Application,001Ox00001aDMP3IAO,Application Submitted,2026-09-30,,
NBCUniveral Local Impact Grant Grant Application,001Ox00001aDMP4IAO,Application Submitted,2026-04-24,,Grant range: No more than 30% of reported expenses
Lawrence Foundation Grant Application,001Ox00001aDMP5IAO,Application Submitted,2026-04-30,5000,"Grant range: $5,000 - $10,000"
Acquis Foundation Grant Application,001Ox00001aDMP6IAO,Application Submitted,2026-06-11,46142,"Grant range: $46,142"
The Slomo & Cindy Siivian Foundation Grant Application,001Ox00001aDMP7IAO,Application Submitted,2026-06-01,20000,"Grant range: $20,000"
New Profit Grant Application,001Ox00001aDMP8IAO,Application Submitted,2026-05-26,110000,"Grant range: $110,000 (100k for organization; 10k for leadership development)"
Tiger Foundation Grant Application,001Ox00001aDMP9IAO,Application Submitted,2026-12-31,50000,"Grant range: $50,000 - $300,000 (Average $200,000)"
Sills Family Foundation Grant Application,001Ox00001V7FlnIAF,LOI Submitted,2026-12-31,10000,"Grant range: $10,000 to $25,000"
Robin Hood Foundation Grant Application,001Ox00001aDMPAIA4,Application Submitted,2026-12-31,100000,"Grant range: $100,000 - $1,600,000"
Kars4Kids Grant Application,001Ox00001aDMPBIA4,Application Submitted,2026-12-31,500,"Grant range: $500 to $2,000"
First Horizon Foundation Grant Application,001Ox00001aDMPCIA4,Prospecting,2026-12-31,5000,"Grant range: $5,000 to $25,000"
Ichigo Foundation Grant Application,001Ox00001aDMPDIA4,Prospecting,2026-12-31,25000,"Grant range: $25,000-$250,000"
Arbor Rising Grant Application,001Ox00001aDMPEIA4,Prospecting,2026-06-09,125000,"Grant range: $125,000"
Resort World Gives Grant Application,001Ox00001aDMPFIA4,Prospecting,2026-11-01,50000,"Grant range: $50,000"
Forest Hills Stadium Community Fund Grant Application,001Ox00001aDMPGIA4,Prospecting,2026-12-31,5000,"Grant range: Tier 1: up to $5000
Tier 2: $5000 - $10,000
Tier 3: $10,000 - $15,000"
CCNSF Grant Application,001Ox00001V7FlBIAV,Prospecting,2026-10-17,45000,"Grant range: $45,000"
M&T Charitable Fund Grant Application,001Ox00001aDMPHIA4,Prospecting,2026-10-31,,Grant range: Varies
Banco Popular Foundation Grant Application,001Ox00001V7FlFIAV,Prospecting,2026-08-31,10000,"Grant range: $10,000"
