Name,Location,Area of interest ,Account Information ,Documentation and Requirements ,Grant Amount,Due Date,Contact Person,Title ,Email,EIN,Application Status,Outreach,Notes,,,,,,,,URL From Name,Name Cleanup,URL from Area,URL Account Info,URL for Documentation,URL for Grant,URL for Due Date,URL for Outreach,Research_Links__c,Contact Fix,Contact 1 NameRaw,Contact2 NameRaw,Contact 3 NameRaw,Title Fix,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email Fix,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,External ID,Internal_Notes__c,Type,Relationship,,Contact 1First,Contact 1Last,Contact 2 First,Contact 2 Last,Contact 3 First,Contact 3 Last,Source_Sheet__c
Hispanic Federation 2026 UPLift New York State,New York City,"Hispanic Federation (HF) is issuing a Request for Proposals (RFP) to member agencies and allies for the implementation of a targeted campaign to provide health access and literacy, economic empowerment programming, and basic needs services to New York's communities of color, particularly bilingual/bicultural communities.",Portal ,"- Must be a 501(c)(3) nonprofit or have a fiscal sponsor - Must serve communities in New York State - Must provide culturally and linguistically responsive services - Programs must align with one or more priority areas: 1. Language access 2. Civic education 3. Workforce training 4. Educational advancement - Must demonstrate community impact and organizational capacity - Grant requests cannot exceed 30% of the organization's annual operating budget - Must submit required organizational documents (IRS determination letter, budget, etc.) - Programs should support underserved and/or Latino communities and improve socioeconomic outcomes.",,"February 6, 2026",Gonzalo Loayza,,gloayza@hispanicfederation.org,13-3573852,Submitted 2/5/2026,,,,,,,,,,https://www.hispanicfederation.org/,Hispanic Federation 2026 UPLift New York State,,,,,,,,Gonzalo Loayza,Gonzalo Loayza,,,,,,,gloayza@hispanicfederation.org,gloayza@hispanicfederation.org,,,hispanicfederation2026upliftnewyorkstate,,Foundation,Funder,,Gonzalo,Loayza,,,,,Foundation Grantors
ViaPath Foundation,Nationwide,"Empowering at-risk communities by supporting youth, advancing advocacy, and building meaningful career pathways",ViaPath Foundation ,"- Be a 501(c)(3) nonprofit organization or apply using a fiscal sponsor  - Provide proof of IRS federal tax-exempt status  - Submit an anti-discrimination statement adopted by the board  - Provide financial documentation, including budget information and list of major contributors  - Complete required narrative sections including evaluation expectations and inclusiveness ","cap of $50,000 over a three-year period","February 20, 2026",Lisa Garcias,Director,info@viapath-foundation.org,87-4626071,Submitted 2/20/2026,,,,,,,,,,https://www.viapathfoundation.org/#our-mission,ViaPath Foundation,,https://www.viapathfoundation.org/news/viapath-foundation-opens-2025-grant-application-process/,,,,,https://www.viapathfoundation.org/news/viapath-foundation-opens-2025-grant-application-process/,Lisa Garcias,Lisa Garcias,,,Director,Director,,,info@viapath-foundation.org,info@viapath-foundation.org,,,viapathfoundation,,Foundation,Funder,,Lisa,Garcias,,,,,Foundation Grantors
Spectrum Digital Education Grant,Communities in Spectrum market,"digital skills training, technology access, digital literacy, workforce readiness, and educational opportunitie",Spectrum Digital Education Grant,"Focus on families or seniors. Be able to report to Spectrum the following metrics: number of people impacted, population served and demographics. Partner with low-income rural and/or urban communities. Be an existing program, already serving our community. Meet the unique needs of its community and align with the nonprofit's current mission. Have a lasting, meaningful and tangible impact (e.g. development of a new digital site or app, expansion of the capacity of a digital learning center, creation of a mobile computer lab, etc.)","$2,500 - $50,000","February 27, 2026",,,DigitalEdGrant@spectrum.com,N/A,Submitted 2/27/2026,,,,,,,,,,https://corporate.charter.com/digital-education/grants,Spectrum Digital Education Grant,,https://forms.benevity.org/7d8320b4-3a3d-4b7d-9c72-d8f2abc91337?submissionKey=4d6422a8-4029-4337-8037-947f9768819e,,,,,https://forms.benevity.org/7d8320b4-3a3d-4b7d-9c72-d8f2abc91337?submissionKey=4d6422a8-4029-4337-8037-947f9768819e,,,,,,,,,DigitalEdGrant@spectrum.com,DigitalEdGrant@spectrum.com,,,spectrumdigitaleducationgrant,,Foundation,Funder,,,,,,,,Foundation Grantors
Mary S. Mulligan Charitable Trust (Bank of America),"New York, Pennsylvania, Michigan, Massachusetts, and other states.","arts, culture, and humanities, education, health, human services, and general charitable purposes including religious, scientific, literary, and educational programming or prevention of cruelty to children or animals.",Mary Mulligan Portal,"Must be a tax-exempt nonprofit (501(c)(3)) organization.  Recipients appear to be other charitable nonprofits in areas aligned with the Trust's interests.","  $2,000 up to about $36,150",March 1 ; September 1,,,ct.grantmaking@bofa.com,16-6076169,Submitted 3/1/2026,,,,,,,,,,https://www.bankofamerica.com/philanthropic/foundation/?fnId=456,Mary S. Mulligan Charitable Trust (Bank of America),,https://bofa-gh.foundationsource.com/login,,,,,https://bofa-gh.foundationsource.com/login,,,,,,,,,ct.grantmaking@bofa.com,ct.grantmaking@bofa.com,,,marysmulligancharitabletrustbankofamerica,,Foundation,Funder,,,,,,,,Foundation Grantors
American Eagle Foundation,United States + Canada,Mental health & well-being of young people,American Eagle Portal,"Organizations that are certified 501(c)3 nonprofits in the United States or are registered charities in Canada are eligible to apply. Individuals, corporations and other entities will not be accepted. The proposal must show that funding will be used to support programming or goals that positively impacts the mental health and well-being of teens and/or young adults to empower authenticity and a better future for all.  Organizations can apply and receive funding once per year. The organization will need to spend the funding and submit a final report before reapplying. Reapplying for funding does not guarantee that you will be awarded. ","$5,000 - $15,000","  March 2, 2026; August 10, 2026",,,AEFoundation@ae.com,25-1827476,Submitted 3/2/2026,,,,,,,,,,https://blog.ae.com/ae-foundation-grant-guidelines/,American Eagle Foundation,,https://webportalapp.com/sp/login/aefoundation,,,,,https://webportalapp.com/sp/login/aefoundation,,,,,,,,,AEFoundation@ae.com,AEFoundation@ae.com,,,americaneaglefoundation,,Foundation,Funder,,,,,,,,Foundation Grantors
The Frances L. & Edwin L. Cummings Memorial Fund,"New York City (Bronx, Manhattan, Queens, Brooklyn, Staten Island) and the five Northeastern New Jersey counties of Bergen, Essex, Hudson, Passaic, and Union.","Education, youth, women",Frances & Edwin Fund,Proposal Requirements,"Average - $70,000",4/1/2026; 10/1/2026, ,,info@cummingsfund.org,13-6814491,Submitted 4/1/2026,,,,,,,,,,https://cummingsfund.org/areas-of-interest/,The Frances L. & Edwin L. Cummings Memorial Fund,,https://cummingsfund.org/proposal-requirements/?utm_source=chatgpt.com,https://cummingsfund.org/proposal-requirements/,,,,"https://cummingsfund.org/proposal-requirements/?utm_source=chatgpt.com https://cummingsfund.org/proposal-requirements/",,,,,,,,,info@cummingsfund.org,info@cummingsfund.org,,,thefrancesledwinlcummingsmemorialfund,,Foundation,Funder,,,,,,,,Foundation Grantors
Laura B. Vogler Foundation,"New York City, Long Island, and Westchester, NY.","health, well-being, education of children, disadvantaged populations, and the elderly; generally program/project support.",Laura B. Volger Application (submit via email to voglerfound@gmail.com),"are located in New York City or Long Island;  are tax exempt under 501 (c) (3) of the Internal Revenue Code;  promote the health, well being, and education of children, the disadvantaged and the elderly; and  primarily fund specific programs or projects rather than general operating support or capital programs.","$3,000–$4,000",July 1; October 1,,,voglerfound@gmail.com,11-6022241,Submitted 4/1/2026,,,,,,,,,,https://sites.google.com/site/voglerfoundation/grant-application?authuser=0,Laura B. Vogler Foundation,,https://drive.google.com/file/d/0Bz3iBm8H_oMTdDYwamx3VVFqUlE/view?resourcekey=0-puWtKUW4I3RpiFb5jMq42Q,,,,,https://drive.google.com/file/d/0Bz3iBm8H_oMTdDYwamx3VVFqUlE/view?resourcekey=0-puWtKUW4I3RpiFb5jMq42Q,,,,,,,,,voglerfound@gmail.com,voglerfound@gmail.com,,,laurabvoglerfoundation,,Foundation,Funder,,,,,,,,Foundation Grantors
William T. Grant Foundation (Youth Service Improvement Grant),New York City,"Financial management, board recruitment and development, human resource management, staff training, fundraising, strategic planning, information technology, leadership development, communications, evaluation systems.",William Grant Application Portal,William T. Grant Application Guidelines,"$25,000","April 1, 2026",Nancy Rivera-Torres,Grants Administrator,nrivera@wtgrantfdn.org,13-1624021,Submitted 4/1/2026,,,,,,,,,,https://wtgrantfoundation.org/funding/youth-service-capacity-building-grants,William T. Grant Foundation (Youth Service Improvement Grant),,https://wtg.smartsimple.com/s_Login.jsp,https://wtgrantfoundation.org/wp-content/uploads/2026/01/2026-Application-Guide-YSIG.pdf,,,,"https://wtg.smartsimple.com/s_Login.jsp https://wtgrantfoundation.org/wp-content/uploads/2026/01/2026-Application-Guide-YSIG.pdf",Nancy Rivera-Torres,Nancy Rivera-Torres,,,Grants Administrator,Grants Administrator,,,nrivera@wtgrantfdn.org,nrivera@wtgrantfdn.org,,,williamtgrantfoundationyouthserviceimprovementgrant,,Foundation,Funder,,Nancy,Rivera-Torres,,,,,Foundation Grantors
UnidosUS – Pioneras en STEM,United States,"STEM education, Latina women, workforce development, higher education, leadership, minority communities", Portal,"Application Requirements:  • Proof of nonprofit/affiliate eligibility or fiscal sponsorship if allowed. • Description of target students, especially Latina high school students. • STEM curriculum or program model. • Mentorship/career exposure plan. • Participant recruitment and retention plan. • Outcome tracking plan for graduation, postsecondary enrollment, STEM interest, career exposure, and completion. • Staff qualifications and implementation timeline. • Program budget and sustainability plan.","$20,000",April 1,—,—,—,86-0212873,Submitted 4/1,,,,,,,,,,https://unidosus.org/,UnidosUS – Pioneras en STEM,,https://www.ccnsfund.org/apply,,,,,https://www.ccnsfund.org/apply,—,—,,,—,—,,,,,,,unidosuspionerasenstem,,Foundation,Funder,,—,Contact,,,,,Foundation Grantors
UnidosUS – Escaleras,United States,"Education, workforce readiness, economic mobility, Latino communities, career pathways, youth development", Portal,"Application Requirements:  • Youth college/career readiness program narrative. • Description of Latino high school youth served. • Curriculum or implementation plan. • Case management/student support model. • Internship, employer, college, or workforce partnerships. • Outcome plan for postsecondary enrollment, career readiness, leadership, financial empowerment, and persistence. • Staffing plan, timeline, budget, and evaluation plan.","$40,000",April 1,—,—,—,86-0212873,Submitted 4/1,,,,,,,,,,https://unidosus.org/,UnidosUS – Escaleras,,https://www.ccnsfund.org/apply,,,,,https://www.ccnsfund.org/apply,—,—,,,—,—,,,,,,,unidosusescaleras,,Foundation,Funder,,—,Contact,,,,,Foundation Grantors
